ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PANALZ,PAZ,MDZ,PP,FAM,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA_PANALZ,PT_PVEM_MORENA,PT_PVEM_PANALZ,PT_MORENA_PANALZ,PVEM_MORENA_PANALZ,PT_PVEM,PT_MORENA,PT_PANALZ,PVEM_MORENA,PVEM_PANALZ,MORENA_PANALZ,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,ZACATECAS,62,141,3757,7567,693,2152,1589,1607,11778,586,642,217,260,607,5977,322,1673,428,68,20,10,101,96,19,20,10,33,86,5,58,14,13,,40408,54,1347,41809,78069,https://ieez.org.mx/PE2021/SesionComputo_2021/dis1.jpg
32,ZACATECAS,2,ZACATECAS,79,141,6293,5918,1162,1474,2139,1422,10950,795,3225,539,235,298,3420,569,1733,441,78,25,24,36,43,6,7,9,21,41,1,41,9,18,,40972,26,1390,42388,74853,https://ieez.org.mx/PE2021/SesionComputo_2021/dis2.jpg
32,ZACATECAS,3,GUADALUPE,59,124,3134,6804,778,3962,1555,1207,12498,1284,789,152,185,301,901,267,1650,432,69,9,16,,,,,,,,,,,,,35993,29,1282,37304,70503,https://ieez.org.mx/PE2021/SesionComputo_2021/dis3.jpg
32,ZACATECAS,4,GUADALUPE,55,134,2985,7891,721,2826,1639,1061,13488,3503,715,135,172,199,969,340,953,462,63,9,20,,,,,,,,,,,,834,38985,72,1304,40361,75811,https://ieez.org.mx/PE2021/SesionComputo_2021/dis4.jpg
32,ZACATECAS,5,FRESNILLO,70,122,1346,7779,527,2216,685,678,12147,1307,169,74,191,122,688,116,669,283,66,4,17,,,,,,,,,,,,,29084,11,1054,30149,64585,https://ieez.org.mx/PE2021/SesionComputo_2021/dis5.jpg
32,ZACATECAS,6,FRESNILLO,80,130,2974,8345,712,1839,878,1112,14091,560,293,56,174,170,1313,140,1411,507,74,16,25,,,,,,,,,,,,,34690,11,1121,35822,68425,https://ieez.org.mx/PE2021/SesionComputo_2021/dis6.jpg
32,ZACATECAS,7,FRESNILLO,128,164,2028,8936,4835,1837,867,509,12364,524,307,112,219,84,764,127,313,685,70,39,113,25,32,34,12,8,30,160,6,37,9,38,,35124,8,1184,36316,68888,https://ieez.org.mx/PE2021/SesionComputo_2021/dis7.jpg
32,ZACATECAS,8,OJOCALIENTE,74,121,2953,9921,2839,4882,753,744,8694,924,3308,78,59,200,383,107,625,293,59,22,44,44,29,12,12,11,23,103,20,22,5,29,,37198,14,1345,38557,61207,https://ieez.org.mx/PE2021/SesionComputo_2021/dis8.jpg
32,ZACATECAS,9,LORETO,63,112,633,6475,440,8417,261,2067,9260,1893,80,75,2751,43,208,156,1735,310,28,3,13,,,,,,,,,,,,,34848,67,1092,36007,59692,https://ieez.org.mx/PE2021/SesionComputo_2021/dis9.jpg
32,ZACATECAS,10,JEREZ DE GARCIA SALINAS,128,157,5667,8632,484,735,1291,870,10115,743,759,87,353,185,743,148,1670,252,102,20,4,40,32,13,11,4,10,42,6,33,7,21,,33079,16,1227,34322,69516,https://ieez.org.mx/PE2021/SesionComputo_2021/dis10.jpg
32,ZACATECAS,11,VILLANUEVA,105,140,1749,5326,5903,1817,4254,805,12179,1934,1198,135,108,763,1205,189,1127,325,43,30,46,42,31,24,10,16,21,53,9,52,17,47,,39458,14,1180,40652,62837,https://ieez.org.mx/PE2021/SesionComputo_2021/dis11.jpg
32,ZACATECAS,12,VILLA DE COS,145,184,2237,11391,863,5600,1782,1044,7250,12591,257,61,224,620,451,128,404,199,73,10,31,,,,,,,,,,,,,45216,2,1292,46510,67283,https://ieez.org.mx/PE2021/SesionComputo_2021/dis12.jpg
32,ZACATECAS,13,JALPA,121,158,6237,6072,736,2854,630,4153,10044,880,92,84,333,59,799,172,401,444,132,29,17,41,50,12,11,8,15,115,13,18,10,33,,34494,10,1374,35878,68682,https://ieez.org.mx/PE2021/SesionComputo_2021/dis13.jpg
32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,148,183,10031,6938,1823,1706,1854,322,13839,599,421,74,24,119,707,92,124,834,207,59,27,57,63,10,13,17,11,52,5,34,11,39,,40112,23,1306,41441,69681,https://ieez.org.mx/PE2021/SesionComputo_2021/dis14.jpg
32,ZACATECAS,15,PINOS,119,149,371,18921,374,2432,459,223,16541,1266,91,88,87,36,444,209,507,,,,,,,,,,,,,,,,,42049,2,1394,43445,64645,https://ieez.org.mx/PE2021/SesionComputo_2021/dis15.jpg
32,ZACATECAS,16,RIO GRANDE,89,130,1424,4859,5738,3860,4405,193,10148,1335,513,76,50,116,758,82,387,201,22,25,39,,,,,,,,,,,,,34231,8,1219,35458,63194,https://ieez.org.mx/PE2021/SesionComputo_2021/dis16.jpg
32,ZACATECAS,17,SOMBRERETE,120,149,5887,9333,284,1101,1300,301,8765,3804,1157,80,27,380,184,204,273,141,97,13,7,,,,,,,,,,,,,33338,6,1093,34437,59855,https://ieez.org.mx/PE2021/SesionComputo_2021/dis17.jpg
32,ZACATECAS,18,JUAN ALDAMA,98,138,2254,7283,959,3512,286,665,10323,613,110,54,1361,145,509,167,297,271,72,15,12,,,,,,,,,,,,,28908,14,884,29806,63311,https://ieez.org.mx/PE2021/SesionComputo_2021/dis18.jpg
