ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PANALZ,PAZ,MDZ,PP,FAM,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA_PANALZ,PT_PVEM_MORENA,PT_PVEM_PANALZ,PT_MORENA_PANALZ,PVEM_MORENA_PANALZ,PT_PVEM,PT_MORENA,PT_PANALZ,PVEM_MORENA,PVEM_PANALZ,MORENA_PANALZ,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,APOZOL,11,12,229,858,360,46,32,14,1567,69,8,8,0,7,7,18,4,12,4,4,1,1,1,0,1,1,0,3,1,0,1,3,,3260,0,82,3342,5465,https://ieez.org.mx/PE2021/SesionComputo_2021/mun1.jpg
32,ZACATECAS,2,APULCO,8,10,96,835,21,60,40,43,523,43,3,4,1,0,40,10,9,7,4,0,3,3,2,0,0,0,0,3,0,1,2,5,,1758,0,101,1859,4326,https://ieez.org.mx/PE2021/SesionComputo_2021/mun2.jpg
32,ZACATECAS,3,ATOLINGA,7,8,476,291,34,11,385,3,128,17,2,0,2,1,14,3,0,62,14,0,2,1,0,0,0,0,2,1,0,4,6,0,,1459,0,78,1537,2389,https://ieez.org.mx/PE2021/SesionComputo_2021/mun3.jpg
32,ZACATECAS,4,BENITO JUAREZ,9,9,1067,185,22,105,681,4,195,11,2,2,1,0,11,4,1,73,9,5,0,4,0,2,1,3,0,2,0,3,2,1,,2396,0,82,2478,3575,https://ieez.org.mx/PE2021/SesionComputo_2021/mun4.jpg
32,ZACATECAS,5,CALERA,21,55,3714,1212,338,350,567,216,3445,285,2714,371,47,68,1059,60,601,206,46,16,8,5,4,1,2,2,6,6,0,4,4,1,,15358,3,470,15831,30526,https://ieez.org.mx/PE2021/SesionComputo_2021/mun5.jpg
32,ZACATECAS,6,CAÑITAS DE FELIPE PESCADOR,10,13,104,351,396,153,1393,39,757,406,37,3,6,54,549,4,64,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,4334,0,156,4490,6076,https://ieez.org.mx/PE2021/SesionComputo_2021/mun6.jpg
32,ZACATECAS,7,CONCEPCION DEL ORO,22,27,83,2182,25,76,107,162,639,3113,4,6,5,7,46,6,5,43,4,0,7,,,,,,,,,,,,,6520,0,175,6695,9719,https://ieez.org.mx/PE2021/SesionComputo_2021/mun7.jpg
32,ZACATECAS,8,CUAUHTEMOC,11,18,143,1080,191,128,1988,255,1370,997,26,19,10,14,43,28,17,18,7,0,2,1,0,0,0,3,2,0,0,9,4,10,,6365,11,162,6538,9194,https://ieez.org.mx/PE2021/SesionComputo_2021/mun8.jpg
32,ZACATECAS,9,CHALCHIHUITES,21,25,109,2097,29,304,47,15,2041,253,141,14,5,10,18,17,28,46,15,0,3,,,,,,,,,,,,,5192,0,107,5299,8370,https://ieez.org.mx/PE2021/SesionComputo_2021/mun9.jpg
32,ZACATECAS,10,FRESNILLO,205,330,4930,21938,2235,5494,1648,2099,32606,2040,640,178,485,349,2190,319,1641,1105,174,27,106,4,13,23,6,2,16,141,3,15,2,22,,80451,26,2669,83146,169408,https://ieez.org.mx/PE2021/SesionComputo_2021/mun10.jpg
32,ZACATECAS,11,TRINIDAD GARCIA DE LA CADENA,7,8,336,341,38,10,313,9,492,27,6,3,,3,10,4,1,46,5,1,1,0,0,0,0,0,0,2,0,6,0,1,,1655,0,52,1707,2910,https://ieez.org.mx/PE2021/SesionComputo_2021/mun11.jpg
32,ZACATECAS,12,GENARO CODINA,16,18,227,451,522,71,290,218,729,107,29,48,42,199,87,13,956,57,5,5,5,7,2,6,0,0,1,3,1,11,5,1,,4098,0,182,4280,6261,https://ieez.org.mx/PE2021/SesionComputo_2021/mun12.jpg
32,ZACATECAS,13,GENERAL ENRIQUE ESTRADA,7,11,391,459,91,77,357,92,545,68,23,4,8,4,109,11,704,43,12,2,0,,,,,,,,,,,,,3000,1,143,3144,5017,https://ieez.org.mx/PE2021/SesionComputo_2021/mun13.jpg
32,ZACATECAS,14,GENERAL FRANCISCO R. MURGUIA,42,48,70,4227,51,978,76,56,3539,230,10,23,8,3,48,34,96,29,9,0,3,,,,,,,,,,,,,9490,0,202,9692,17848,https://ieez.org.mx/PE2021/SesionComputo_2021/mun14.jpg
32,ZACATECAS,15,EL PLATEADO DE JOAQUIN AMARO,5,5,45,265,38,18,8,13,342,20,0,0,152,0,1,4,5,14,1,1,0,0,0,0,0,0,0,1,1,0,0,0,,929,0,47,976,1668,https://ieez.org.mx/PE2021/SesionComputo_2021/mun15.jpg
32,ZACATECAS,16,GENERAL PANFILO NATERA,24,36,325,3057,596,385,142,141,2598,113,2735,20,10,27,178,45,276,199,12,5,25,8,10,3,2,1,6,13,2,11,1,3,,10949,10,595,11554,17949,https://ieez.org.mx/PE2021/SesionComputo_2021/mun16.jpg
32,ZACATECAS,17,GUADALUPE,106,243,5991,13636,1380,6343,2937,2211,25160,3511,1059,262,342,487,1734,585,2570,875,130,18,34,0,0,0,0,0,0,0,0,0,0,0,449,69714,100,2392,72206,138206,https://ieez.org.mx/PE2021/SesionComputo_2021/mun17.jpg
