ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,CXQROO,FXMQROO,CAND_IND1,PAN_PRD_CXQROO,PAN_PRD,PAN_CXQROO,PRD_CXQROO,PVEM_PT_MORENA_FXMQROO,PVEM_PT_MORENA,PVEM_PT_FXMQROO,PVEM_MORENA_FXMQROO,PT_MORENA_FXMQROO,PVEM_PT,PVEM_MORENA,PVEM_FXMQROO,PT_MORENA,PT_FXMQROO,MORENA_FXMQROO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,KANTUNILKIN,54,156,4160,928,368,11975,1675,1983,10802,5616,390,2906,,83,67,5,1,46,52,20,27,14,59,328,68,72,16,87,41748,55,2003,43806,93477,
23,QUINTANA ROO,2,CANCUN,112,238,2934,1067,563,13782,1407,3870,13476,1234,391,2260,,68,78,13,1,0,0,0,0,0,0,0,0,0,0,0,41144,55,3038,44237,137914,
23,QUINTANA ROO,3,CANCUN,77,144,1840,745,559,6691,1115,3114,10535,1698,292,479,,31,39,8,0,42,61,5,16,8,22,122,10,82,1,17,27532,38,1335,28905,80938,
23,QUINTANA ROO,4,CANCUN,62,114,1790,731,417,8435,672,2383,7954,952,512,365,,49,50,22,12,40,58,7,9,5,27,162,6,47,1,10,24716,41,1342,26099,64949,
23,QUINTANA ROO,5,CANCUN,80,141,4411,1325,471,4793,750,3082,9444,1380,323,450,,55,56,7,4,53,47,7,10,4,23,99,10,59,5,22,26890,67,1315,28272,74498,
23,QUINTANA ROO,6,CANCUN,53,116,2384,943,682,6198,842,3295,10524,1117,318,506,,61,53,7,3,34,54,8,22,12,22,115,27,64,3,19,27313,47,1368,28728,70194,
23,QUINTANA ROO,7,CANCUN,53,154,5771,1401,874,9967,705,3564,10094,1299,390,537,,80,93,10,3,44,39,3,8,6,23,114,4,63,5,21,35118,52,1540,36710,97375,
23,QUINTANA ROO,8,CANCUN,48,135,10107,1593,408,5916,748,3279,7584,756,273,541,,87,90,15,2,41,34,3,10,8,20,109,14,58,6,12,31714,56,1496,33266,84773,
23,QUINTANA ROO,9,TULUM,156,312,5863,2616,492,12368,1694,3002,18769,2107,730,617,,65,50,43,3,113,100,11,23,12,68,384,31,165,6,46,49378,84,2180,51642,180224,
23,QUINTANA ROO,10,PLAYA DEL CARMEN,71,152,6474,535,337,7518,526,1714,6762,1506,985,223,,197,89,72,7,33,53,4,12,3,26,246,8,56,2,7,27395,62,1338,28795,87264,
23,QUINTANA ROO,11,COZUMEL,22,105,1303,8403,168,2219,348,1014,8642,5195,232,230,,11,12,8,0,24,24,0,4,4,11,126,5,37,4,9,28033,22,1124,29179,69706,
23,QUINTANA ROO,12,FELIPE C PUERTO,43,123,2089,856,5368,7090,1651,2396,13250,5788,545,1020,,140,276,8,10,44,30,9,9,21,43,332,29,74,17,91,41186,71,1325,42582,69353,
23,QUINTANA ROO,13,BACALAR,68,137,2092,1554,2389,9474,3059,1936,12791,4285,640,935,,87,132,11,6,66,71,6,3,10,80,752,62,145,11,34,40631,27,1419,42077,75548,
23,QUINTANA ROO,14,CHETUMAL,56,129,3700,1720,822,6027,609,7097,10641,1617,434,410,1878,90,80,22,5,63,47,2,8,5,43,796,12,47,6,25,36206,119,1546,37871,70095,
23,QUINTANA ROO,15,CHETUMAL,78,141,3213,1935,1214,6203,728,9327,10561,2979,487,544,,87,90,22,4,25,69,5,17,5,46,740,20,62,2,26,38411,66,1704,40181,78865,
