ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,CXQROO,FXMQROO,CAND_IND1,PAN_PRD_CXQROO,PAN_PRD,PAN_CXQROO,PRD_CXQROO,PVEM_PT_MORENA_FXMQROO,PVEM_PT_MORENA,PVEM_PT_FXMQROO,PVEM_MORENA_FXMQROO,PT_MORENA_FXMQROO,PVEM_PT,PVEM_MORENA,PVEM_FXMQROO,PT_MORENA,PT_FXMQROO,MORENA_FXMQROO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,BENITO JUAREZ,511,1090,31494,8167,4112,58065,6437,23332,71863,8976,2588,5285,0,458,491,86,25,261,303,33,79,44,145,764,74,384,20,110,223596,388,11874,235858,636677,
23,QUINTANA ROO,2,COZUMEL,22,105,1303,8403,168,2219,348,1014,8642,5195,232,230,0,11,12,8,0,24,24,0,4,4,11,126,5,37,4,9,28033,22,1124,29179,69706,
23,QUINTANA ROO,3,FELIPE C PUERTO,35,103,1744,753,4854,5351,951,2185,10888,4122,485,929,0,133,257,8,10,42,26,7,9,19,28,298,28,58,15,91,33291,61,1110,34462,57624,
23,QUINTANA ROO,4,ISLA MUJERES,10,36,795,198,51,3096,207,499,1895,713,60,1810,0,6,8,0,0,15,12,17,12,4,14,110,44,15,4,57,9642,7,517,10166,22523,
23,QUINTANA ROO,5,JOSE M MORELOS,22,51,658,234,994,4338,1414,464,6476,4110,183,205,0,20,42,4,2,4,25,2,1,3,27,86,3,43,3,3,19344,12,594,19950,28557,
23,QUINTANA ROO,6,LAZARO CARDENAS,14,40,499,163,70,2616,709,301,3902,3842,194,763,0,17,8,1,0,12,12,1,7,2,6,39,6,18,8,13,13209,4,541,13754,22305,
23,QUINTANA ROO,7,OTHON P BLANCO,160,317,8035,4017,3195,14470,1960,17275,25762,5314,1073,1159,1878,226,250,49,12,137,153,9,25,11,127,2063,41,180,10,67,87498,188,3795,91481,175013,
23,QUINTANA ROO,8,SOLIDARIDAD,185,394,11589,2139,645,16740,1501,4163,17451,3080,1604,699,0,253,132,112,10,113,125,12,30,9,67,487,28,141,4,30,61164,123,2809,64096,229629,
23,QUINTANA ROO,9,TULUM,42,70,748,1012,184,3146,719,553,8080,533,111,141,0,9,7,3,0,33,28,3,5,6,27,143,11,80,4,23,15609,23,709,16341,37859,
23,QUINTANA ROO,10,BACALAR,28,59,657,1061,750,4635,1722,832,4117,1123,365,616,0,25,29,2,1,15,13,4,2,8,30,173,51,47,8,15,16301,22,495,16818,32667,
23,QUINTANA ROO,11,PUERTO MORELOS,4,32,609,205,109,3980,561,438,2753,521,47,186,0,33,19,0,1,12,18,2,4,7,31,136,15,28,5,8,9728,12,505,10245,22613,
